ID,Genre
1448,vapor pop
1449,cdo indie
1450,classic venezuelan pop
1451,kazakh hip hop
1452,guadalajara indie
1453,german alternative rock
1454,karadeniz pop
1455,post-rock
1456,children's folk
1457,polish drill
1458,vaporwave
1459,hungarian hip hop
1460,alternative americana
1461,hyphy
1462,easycore
1463,new beat
1464,indonesian hip hop
1465,instrumental grime
1466,punk urbano
1467,reggae uruguayo
1468,khaliji
1469,opera metal
1470,scottish indie
1471,ann arbor indie
1472,study beats
1473,vintage italian soundtrack
1474,folk rock italiano
1475,mexican pop punk
1476,midwest emo
1477,cumbia paraguaya
1478,italian romanticism
1479,russian drill
1480,swedish hard rock
1481,romanian house
1482,viral trap
1483,liverpool indie
1484,pinoy drill
1485,bandinhas
1486,experimental rock
1487,northern irish indie
1488,bluegrass
1489,jazz boom bap
1490,early us punk
1491,dub
1492,spectra
1493,nashville singer-songwriter
1494,drill chileno
1495,classic danish pop
1496,ambient guitar
1497,piano blues
1498,indian classical
1499,horror punk
1500,pinoy alternative rap
1501,yugoslav rock
1502,turkish instrumental
1503,folk metal
1504,melodic metal
1505,classic french pop
1506,russian electronic
1507,new jersey hardcore
1508,rune folk
1509,french techno
1510,technical death metal
1511,magyar trap
1512,indonesian viral pop
1513,rap underground argentino
1514,norwegian hip hop
1515,dancehall queen
1516,gospel r&b
1517,polish viral rap
1518,south african house
1519,icelandic classical
1520,viral afropop
1521,wave
1522,german metalcore
1523,pop minang
1524,progressive groove metal
1525,deep turkish pop
1526,pink noise
1527,contemporary jazz
1528,classic house
1529,rhythm and blues
1530,classic israeli pop
1531,glee club
1532,american folk revival
1533,kosovan pop
1534,rva drill
1535,atmosphere
1536,peruvian rock
1537,zhenskiy rep
1538,bc underground hip hop
1539,pinoy indie
1540,uk dancehall
1541,kurdish pop
1542,gaming dubstep
1543,danish electronic
1544,spanish folk metal
1545,pinoy singer-songwriter
1546,deep latin christian
1547,north carolina roots
1548,chill guitar
1549,folktronica
1550,croatian pop
1551,swedish soul
1552,bergamo indie
1553,lo-fi house
1554,puerto rican rock
1555,idol rock
1556,idol
1557,kolsche karneval
1558,rocksteady
1559,acoustic blues
1560,latinx alternative
1561,frenchcore
1562,washington indie
1563,soca
1564,auckland indie
1565,oyun havasi
1566,central asian hip hop
1567,antideutsche
1568,christian metalcore
1569,chiptune
1570,spanish modern rock
1571,post-minimalism
1572,rap uliczny
1573,nederlandse hardstyle
1574,gothenburg metal
1575,icelandic experimental
1576,kabarett
1577,latin classical
1578,ghanaian alternative
1579,deep pop edm
1580,jangle pop
1581,calming instrumental
1582,ethereal wave
1583,emo rap italiano
1584,polish underground rap
1585,musica aragonesa
1586,turkish edm
1587,balkan trap
1588,gothic rock
1589,classic peruvian pop
1590,italian opera
1591,gospel antigas
1592,celtic punk
1593,irish folk
1594,dream plugg
1595,classical drill
1596,rock andaluz
1597,focus beats
1598,j-indie
1599,rap boricua
1600,indonesian city pop
1601,afrobeat
1602,rap uruguayo
1603,pop teen brasileiro
1604,dark plugg
1605,idol kayo
1606,kiwi rock
1607,maga rap
1608,pop chileno
1609,chinese indie
1610,brain waves
